Date,Time,Location,Operator,Flight #,Route,Type,Registration,cn/In,Aboard,Fatalities,Ground,Summary,Coordinates,Latitude,Longitude
1/22/1952,15:43,"Elizabeth, New Jersey",American Airlines,6780,Buffalo - Newark,Convair CV-240-0,N94229,54,23,23,7,"The aircraft crashed into an apartment house during its approach, 3 miles short and right of the runway.  The plane crashed while level laterally but in a steep descending attitude.  Most likely cause was carburetor icing. Official cause unknown.","40.6639916,-74.2107006",40.6639916,-74.2107006
1/10/1952,19:15,"Com Edno, Wales",Aer Lingus,,Northolt - Dublin,Douglas DC-3,EI-AFL,16699/33447,23,23,0,The aircraft lost control in severe turbulence and downdrafts and crashed in a soft peat bog 1 mile east of Llyn Gwynant.  The encountering of strong down-currents of air on the lee side of Snowdon which forced the aircraft down into an area of strong turbulence where control was lost.,"52.1306607,-3.7837117",52.1306607,-3.7837117
1/2/1952,,"Andapa, Madagascar",Air France,,,Junkers JU-52/3m,F-BAMQ,106,11,6,0,,"-14.6582280,49.6452092",-14.658228,49.6452092
12/13/1951,,Papua New Guinea,Qantas,,,de Havilland DH-84,VH-UR,,3,3,0,,"-6.3149930,143.9555500",-6.314993,143.95555
12/4/1951,7:25,"Denver, Colorado",United Air Lines,,Training,Douglas DC-3A,N17109,4999,3,3,0,"Stalled, entered a spin and crashed. An inadvertent spin at an altitude too low for recovery.","39.7392358,-104.9902510",39.7392358,-104.990251
11/24/1951,,"Zurich, Switzerland",El Al,,Zurich - Rome,Douglas DC-4,4X-AND,10512,7,6,0,The cargo plane crashed on approach.,"47.3768866,8.5416940",47.3768866,8.541694
9/15/1951,,"Bangalore, India",Air India,,Bangalore - Trivandrum,Douglas C-47A-30-DK Dakota III,VT-CCA,13853/25298,28,22,0,Lost control and crashed when attempting to take off. Attempted to take off  with the autopilot engaged.,"12.9715987,77.5945627",12.9715987,77.5945627
9/12/1951,10:46,"Off Redwood City, California",United Air Lines,,,Boeing 377 Stratocruiser 10-34,N31230,15970,3,3,0,"The aircraft, with the No. 4 propeller feathered, stalled and dived into San Francisco Bay. An inadvertent stall at a low altitude from which recovery was not effected.","37.4852152,-122.2363548",37.4852152,-122.2363548
8/24/1951,4:28,"Decoto, California",United Air Lines,615,Boston - Hartford - Cleveland - Chicago - Oakland,Douglas DC-6B,N37550,43260/180,50,50,0,"Cleared for an approach to Oakland Municipal Airport, the aircraft crashed 15 miles SSE of the airport into Tolman peak. Patches of fog obscured the terrain. The aircraft struck a hill at an elevation of about 1,000 ft. at 225 to 240 mph. Neither of its 2 low-frequency receivers were tuned to the Oakland station and the captain may have attempted to fly by visual reference using the ADF.  As a result, the flight was 3 miles off course and well below the minimum prescribed altitude. The failure of the captain to adhere to instrument procedures in the Newark area during an approach to the Oakland Municipal  Airport.","37.5865407,-122.0216922",37.5865407,-122.0216922
8/11/1951,9:25,"Moisville, France",Air France,,Training,Douglas DC-3D,F-BAXB,42971,5,5,0,"Abnormal flight maneuver made when the crew experienced difficulty in resuming normal flight on the two engines. Overspeed, reduction of pitch or difficulty in restarting the engine may have created a dangerous situation and caused the aircraft to stall in dissymmetrical flight, thus subjecting the airframe to stresses accompanied by buffeting which was either alternating or exceeded the design limits of the structure and caused the tail-plane to break off.","48.8397570,1.1657050",48.839757,1.165705
7/16/1951,,"Off Lae, New Guinea",Qantas,,,de Havilland DHA-3 Drover II,VH-EBQ,5003,7,7,0,Crashed into the Huon Gulf after the center propeller failed.,"-6.7155252,146.9999050",-6.7155252,146.999905
6/30/1951,2:00,"Rocky Mountain Nat. Park,  Ft. Collins, Colorado",United Air Lines,610,Salt Lake City - Denver,Douglas DC-6B,N37543,43144/155,50,50,0,"En route from San Francisco to Denver after passing the Cheyenne radio range the aircraft turned south in the wrong heading. Flying in darkness, the aircraft continued on this course until it hit Crystal Mountain. The captain may have depressed the wrong control switch or may have turned his ADF in such a way that it was affected by the radio range station at Fort Bridger, WY. Officially, the flight for reasons undetermined, failed to follow the prescribed route to Denver and continued beyond the boundary of the airway on a course which resulted in the aircraft striking mountainous terrain.","40.3427932,-105.6836389",40.3427932,-105.6836389
4/28/1951,19:32,"Fort Wayne, Indiana",United Air Lines,129,Cleveland - Fort Wayne - South Bend - Chicago,Douglas DC-3,N16088,1927,11,11,0,The aircraft crashed after being caught in a squall line with 65-85 mph winds and heavy rain. Windshear. The severe downdraft encountered which caused the aircraft to strike the ground in a near level attitude.,"41.0792730,-85.1393513",41.079273,-85.1393513
4/2/1951,,"Bogota, Colombia",AVIANCA,,,Douglas DC-3,HK-142,1957,26,26,0,,"4.7109886,-74.0720920",4.7109886,-74.072092
3/26/1951,,"Rio Grande, Argentina",Aerolineas Argentinas,,Ushuaia - Buenos Aires,Douglas DC-3,LV-ACY,12291,20,11,2,Crashed shortly after takeoff.,"-53.7860374,-67.7002243",-53.7860374,-67.7002243
2/3/1951,," Mt. Cameroun, Buea, Nigeria",Air France,,Douala - Niamey,Douglas DC-4,F-BBDO,42992,29,29,0,"Crashed into a mountain at 8,500 feet. Navigation error. Incorrect procedures followed by crew. The crew followed a different and inaccurate course.","4.1559658,9.2632243",4.1559658,9.2632243
1/17/1951,14:36," Civitavecchia, Italy",Alitalia,,Paris - Rome,Savoia Marchetti SM-95,I-DALO,10,17,14,0,"The aircraft plunged to the ground from 6,500 feet after being struck by lightning. Lightning ignited a mixture of air and fuel fumes in the fuel tank.","42.0924239,11.7954132",42.0924239,11.7954132
1/12/1951,,"Ixopo, South Africa",United Air Lines,,,de Havilland Dove 1,ZS-DDW,4017,12,12,0,Broke up in turbulence.,"-30.1531579,30.0694123",-30.1531579,30.0694123
12/30/1950,,"Santiago del Estado, Argentina",Aerolineas Argentinas,,Mar del Plata - Buenos,Douglas DC-3,LV-ACH,13027,18,17,0,Crashed 60 miles north of the airport after taking off from Mar del Plata.,"-27.7833574,-64.2641670",-27.7833574,-64.264167
12/13/1950,,"Katagiri, India",Air India,,,Douglas DC-3,VT-CFK,14604/2604,21,21,0,Flew into a mountain due to a navigational error.,"11.4217666,76.8617275",11.4217666,76.8617275
11/3/1950,9:43,"Mont Blanc, France",Air India,245,Bombay - Cairo - Geneva - London,Lockheed 749 Constellation,VT-CQP,2506,48,48,0,The aircraft crashed in a snowstorm 200 meters below Mont Blansummit. The crew was warned by a Geneva controller to climb immediately. They acknowledged the message but soon after struck the mountain. The exact cause of the accident remains undetermined. Most likely the aircraft was caught in violent gust while trying to overfly the summit. The plane was named 'Malabar Princess.',"45.8326223,6.8651749",45.8326223,6.8651749
6/14/1950,21:55,Off Bahrain,Air France,,Saigon - Paris,Douglas DC-4-1009,F-BBDM,42990,53,40,0,"The aircraft crashed into the Persian Gulf while on approach on a flight from Saigon to Paris. Improper approach. Crew error. An alternate probable cause may been windshear. It was not know at the time that windshear conditions existed at temperature inversion levels for several days after Shamal dust storms. The aircraft may have run out of adequate forward speed at an altitude of 400 feet after descending through a headwind level into a tailwind level when committed to land.  With surface winds relatively calm and in 2,000 meters of sand haze, the winds at 400 ft. may have been in excess of 80 knots.","26.0667000,50.5577000",26.0667,50.5577
6/12/1950,21:52,Off Bahrain,Air France,,Saigon - Paris,Douglas DC-4-1009,F-BBDE,42937,52,46,0,"While making a final approach for Bahrain, the aircraft crashed into the sea. The pilot did not keep a accurate check of his altitude and rate of descent during the approach. Crew error, possibly due to fatigue.  An alternate probable cause may been windshear. It was not know at the time that windshear conditions existed at temperature inversion levels for several days after Shamal dust storms. The aircraft may have run out of adequate forward speed at an altitude of 400 feet after descending through a headwind level into a tailwind level when committed to land.  With surface winds relatively calm and in 2,000 meters of sand haze, the winds at 400 ft. may have been in excess of 80 knots.","26.0667000,50.5577000",26.0667,50.5577
5/2/1950,,"Chimborcza, Ecuador",AVIANCA,,Quito - Guayaquil,Douglas C-47DL,HK-120,4314,15,15,0,Flew into a mountain.,"-1.4693018,-78.8169396",-1.4693018,-78.8169396
11/29/1949,5:49,"Dallas, Texas",American Airlines,157,New York City - Mexico City,Douglas DC-6,N90728,42895/58,46,28,0,"During a pull-up for a go-around, after attemping a landing approach with the No. 1 engine feathered,  the No. 4 engine lost power then came on with a surge. The flight engineer feathered the No. 4 engine without instructions from the captain. The aircraft stalled, then collided with wires and a building.  Crew's improper handling of the aircraft after an engine failed.","32.7766642,-96.7969879",32.7766642,-96.7969879
11/28/1949,16:45,"Chaleyssin, France",Air France,,Paris - Lyons - Tunis,Douglas DC-4,F-BELO,10391,38,5,0,Crashed while on approach to Lyons.,"45.5862670,5.0042650",45.586267,5.004265
10/28/1949,2:50,"San Miguel Island, Azores",Air France,,Paris - Santa Maria - New York City,Lockheed 749-79-33 Constellation,F-BAZN,2546,48,48,0,"While attempting for the third time to land at Santa Maria, the aircraft, flew into Redondo Mountain at 2,950 ft. on San Miguel Island. Crew error. Failure to carry out either of the two approach procedures adopted for Santa Maria airport. False position report give by crew. Inadequate navigation.  Failure to identify Santa Maria airport when flying in VFR conditions. French middleweight boxing champion Marcel Cerdan, 33, and French violinist, Ginette Neveu killed.","37.7804110,-25.4970466",37.780411,-25.4970466
2/5/1949,,"Buenaventura Bay, Colombia",AVIANCA,,,Consolidated PBY-5A Catalina,HK-134,,14,3,0,Crashed while attempting to land.,"3.8830471,-77.0197212",3.8830471,-77.0197212
1/20/1949,20:05,"Homer, Alaska",Alaska Airlines,8,Homer - Anchorage,Douglas DC-3C,N91006,20208,6,5,0,"The aircraft departed Homer at night under VFR conditions contrary to company and federal regulations, strayed off course and struck a 3,000 ft. mountain, 27 miles northeast of Homer. The action of the pilot in proceeding off the designated airway at an altitude insufficient to clear the terrain.","59.6425000,-151.5483333",59.6425,-151.5483333
1/17/1949,13:40,"AtlantiOcean, off Bermuda",American Airlines,,Bermuda - Kingston,Avro 688 Tudor 4B,G-AGRE,1253,20,20,0,"Lost at sea on a flight from Bermuda to Kingston, Jamaica. The last radio message reported the plane was crossing 30 degrees N.  Nothing further was heard from the plane. No wreckage was ever found. The weather was good at the time. The plane was named Star Ariel. Cause undetermined.","32.3704512,-64.6965892",32.3704512,-64.6965892
1/5/1949,,"Caravelas Bay, Brazil",American Airlines,,,Avro 685 York 1,G-AHEX,1301,17,3,0,"A blown tire during takeoff led to damage to the landing gear, engine and oil line. Lack of oil caused loss of the engine and the crew was not able to feather the prop. This led to overspeeding and an engine fire. The plane made a spiral descent and crashed to the ground.","-17.7337668,-39.2652781",-17.7337668,-39.2652781
8/1/1948,,"1,200 miles off Dakar, AtlantiOcean",Air France,,Fort de France - Port Etienne,Latecoere 631 (flying boat),F-BDRC,6,52,52,0,"Disappeared in the Atlantion a flight from Fort. de France, Martinique to Port Etienne, Mauritania. The United States Coast Guard cutter Campbell reported finding debris on August 4 with no survivors.","14.7166770,-17.4676861",14.716677,-17.4676861
6/17/1948,12:41,"Mount Carmel, Pennsylvania",United Air Lines,624,Chicago - New York City,Douglas DC-6,NC37506,42871/12,43,43,0,"The plane crashed after an in-flight fire in cargo hold. The crew discharged carbon dioxide extinguishers into the cargo hold in response to the fire warning. When the plane's nose was lowered for an emergency descent, the carbon dioxide, being heavier than air, accumulated in the cockpit and asphyxiated the crew.  The aircraft crashed through high voltage lines and exploded on a hillside. After the crashes of 10/24/47 and 11/11/47, were a design flaw allowed vented fuel to enter the intake for the cabin heating system, the CAA also ordered carbon dioxide extinguishers installed. Earl Carroll,  U.S. theatrical impresario killed. Douglas aircraft company knew of the carbon dioxide danger after two of its test pilots were almost overcome during test flights. They suppressed reports to the CAA which resulted in only a warning being added to the flight manual. The aircraft was named Mainliner Utah.","40.7970312,-76.4118961",40.7970312,-76.4118961
3/10/1948,22:58,"Chicago, Illinois",Delta Air Lines,700,Chicago - Miami,Douglas DC-4,NC37478,18390,13,12,0,"During takeoff, the aircraft went into a near vertical climb to an altitude of 500 - 800 feet, stalled and crashed.  Loss of longitudinal control of the airplane for reasons undetermined.","41.8781136,-87.6297982",41.8781136,-87.6297982
1/30/1948,3:00,"AtlantiOcean, NE of Bermuda",American Airlines,,London - Havana,Avro 688 Tudor I,G-AHNP,1349,31,31,0,"The aircraft ran out of fuel and crashed into the AtlantiOcean, 340 miles from Bermuda, after running into strong headwinds and being blown off course while flying the leg from  the Azores to Bermuda. Official cause unknown. The aircraft was named Star Tiger.","-14.5994134,-28.6731465",-14.5994134,-28.6731465
1/6/1948,,"Paris, France",Air France,,Brussels - Paris,Douglas DC-3D,F-BAXC,42972,16,16,0,Crashed into trees a few hundred yards away from the runway while attempting to land at Le Bourget Airport.,"48.8566140,2.3522219",48.856614,2.3522219
12/27/1947,,"Korangi Creek, India",Air India,,Karachi - Bombay,Douglas DC-3 (C-47),VT-AUG,4175,23,23,0,"The aircraft lost control and crashed just after taking off. The captain losing control in conditions of poor visibility, resulted in the aircraft flying into the ground. The loss of control was most likely caused by  inadequate illumination of the flying instruments due to faults in the lighting system.  Decision to take off in poor weather conditions and faulty lighting system.","24.8032646,67.1239090",24.8032646,67.123909
11/30/1947,14:25,"Seattle, Washington",Alaska Airlines,9,Anchorage - Seattle,Douglas C-54A,NC-91009,7453,28,8,1,"The plane attempted to land at Boeing Field but aborted the landing because of low ceiling and visibility. During a second landing attempt, the aircraft touched down 2,748 feet beyond the approach end of Runway 20, ran past the end of the runway, hit an automobile killing one person, crashed into a ditch and burst into flames. Caused by the landing of the airplane too far from the approach end of a wet runway and at a speed too great to accomplish a full stop on the runway.","47.6062095,-122.3320708",47.6062095,-122.3320708
11/18/1947,13:00,"Newcastle, Delaware",Trans World Airlines,,Training,Lockheed L-049-46-26 Constellation,NC86507,2028,5,5,0,Crashed short of the runway and burst into flames. The inadvertent landing of the aircraft short of the runway.,"39.6620397,-75.5668166",39.6620397,-75.5668166
11/11/1947,,"Gallup, New Mexico",American Airlines,10,San Francisco - Chicago - New York,Douglas DC-6,NC90741,43046/92,25,0,0,"The aircraft was on a flight from San Francisco to Chicago when fire was reported on board. The aircraft crashed landed but there were no fatalities. An almost identical accident with the same cause occurred on 10/24/47. The flight crew transferred fuel either intentionally or inadvertently from the No. 4 alternate tanks to the No. 3 alternate tanks and failed to stop the transfer process in time to avoid overflowing the No. 3 alternate tank. Gasoline flowed through the No. 3 alternate vent line, out the vent, and was carried back by the slipstream, entering the cabin heater combustion air intake scoop. When the cabin heater came on, an explosion and fire  occurred. Caused by a design flaw in the aircraft design which allowed vented fuel to be suck into the fresh air inlet.","35.5280783,-108.7425843",35.5280783,-108.7425843
10/24/1947,12:29,"Bryce Canyon, Utah",United Air Lines,608,Los Angeles - New York City,Douglas DC-6,NC37510,42875/17,53,53,0,"Fire was reported on board the aircraft before it crashed.  An almost identical accident with the same cause occurred on 11/11/47. The flight crew transferred fuel either intentionally or inadvertently from the No. 4 alternate tanks to the No. 3 alternate tanks and failed to stop the transfer process in time to avoid overflowing the No. 3 alternate tank. Gasoline flowed through the No. 3 alternate vent line, out the vent, and was carried back by the slip stream, entering the cabin heater combustion air intake scoop. When the cabin heater came on an explosion and fire  occurred. The fire was fueled by magnesium flares strored in the cabin heater compartment. Caused by a design flaw in the aircraft which allowed vented fuel to be carried back into the cabin heater air intake.","37.6283161,-112.1676947",37.6283161,-112.1676947
10/8/1947,7:55," El Paso, Texas",American Airlines,311,New York City - Dallas - Los Angeles,Douglas DC-4,NC90432,10314/DC45,54,0,0,"While cruising at 8,000 ft. in clear weather, the aircraft went into steep dive which the co-pilot was able to pull out of at 350 feet from the ground.  As a prank, a captain riding in the jump seat, engaged the gust lock in flight. The command pilot, not knowing the gust lock was engaged, rolled the elevator trim tab with no response. When the jump seat captain disengaged the gust lock,the aircraft went into a steep dive, executed part of an outside roll and become inverted. Neither the command nor jump seat captain had seat belts on and they accidentally feathered No. 1, 2 and 4 engines when they hit the controls with their heads.  No one realized it at the time but the feathering reduced power and allowed the co-pilot, who was strapped in, to pull out of the dive.","31.7618778,-106.4850217",31.7618778,-106.4850217
8/8/1947,18:49,"New York, New York",American Airlines,,New York - Buffalo,Douglas DC-3C,NX88787,19639,5,3,0,"Cargo flight. Lost an engine on takeoff and decided to return to the airport. Following an attempted landing, a miss approach procedure was attempted for a second landing without sufficient air speed for single engine operation.","40.7127753,-74.0059728",40.7127753,-74.0059728
8/2/1947,17:40,"Andes, Argentina",American Airlines,,Buenos Aires - Santiago,Avro 691 Lancastrian 3,G-AGWH,1280,11,11,0,"Crash in the Andes mountains in poor weather while flying from Mendoza, Argentina to Santiago, Chile. The plane was found on the south slope of Tupungato peak at the 18,000 ft. level on January 19, 2000, 53 years later. Possibly icing or possibly the aircraft, being capable of flying over 20,000 feet, encountered strong head winds and began a descent thinking they were over their destination when they were not. The plane was named 'Star Dust.'","-38.4160970,-63.6166720",-38.416097,-63.616672
7/1/1947,,?Yaound�,Air France,,Yaounde - Douala,Junkers JU-52/3m,F-BALF,91,13,13,0,Crashed while en route.,"3.8480325,11.5020752",3.8480325,11.5020752
6/4/1947,23:00," Gemenos, France",Air France,,Marseille - Lyon,Junkers Ju-52,F-BANB,AAC136,2,2,0,The cargo plane struck high ground while en route.,"43.2953880,5.6281120",43.295388,5.628112
5/29/1947,19:05,"La Guardia Airport, Queens, New York",United Air Lines,521,New York City - Cleveland,Douglas C-54B,NC30046,18324,48,43,0,"The aircraft overran the runway during an attempted takeoff, crashed and caught fire. Either the failure of the pilot to release the gust lock before take-off or his decision to discontinue the take-off because of apprehension resulting from rapid use of a short runway under a possible calm wind condition.","40.7769271,-73.8739659",40.7769271,-73.8739659
5/11/1947,9:39,"Delaware Bay, New Jersey",Trans World Airlines,,Training,Lockheed L-049 Constellation,NC86508,2029,4,4,0,"Went into a turn and lost control, spiraled into the ground. Loss of control of the aircraft for reasons undetermined.","39.1201705,-75.2479061",39.1201705,-75.2479061
4/22/1947,10:40,"Columbus, Georgia",Delta Air Lines,,,Douglas DC-3 (C-47DL) /Vultee BT-13,N49657 / N55312,9066,10,10,0,"A private plane landed on top of the DC-3 while it was taking off.  After rising to a height of 150 ft., the tail of the DC-3 was forced down and both planes crashed in flames. All 9 killed aboard the DC-3 and one aboard the private plane were killed.  The failure of the pilot in the BT-13 to fly a standard left hand pattern in his approach to the airport and to keep a diligent lookout for other traffic.","32.4609764,-84.9877094",32.4609764,-84.9877094
4/13/1947,,"Off Dakar, Senegal",American Airlines,,Lisbon - Dakar,Avro 685 York I,G-AHEZ,1303,15,6,0,The plane crashed while making a third landing attempt. Unwise decision to try a third landing attempt. No approach lights. No radio facilities.,"14.7166770,-17.4676861",14.716677,-17.4676861
3/17/1947,8:05," Medellin, Colombia",TACA,,"Medellin, Colombia - San Jose, Costa Rica",Lockheed 18 Lodestar,YS-28,2450,8,8,0,Crashed shortly after taking off.,"6.2486069,-75.5742467",6.2486069,-75.5742467
3/14/1947,14:00,"Mt. Moucherolles, France",Air France,,Lyons - Nice - Paris,Douglas DC-3 (C-47A-90-DL),F-BAXO,20488,23,23,0,"Flew into 4,000 foot Mt. Moucherolles, 25 miles south of Grenoble. The crash started an avalanche which buried most of the wreckage.","45.0049490,5.5640120",45.004949,5.564012
2/15/1947,12:18," Bogota, Colombia",AVIANCA,,Barranquilla - Bogota,Douglas DC-4,C-114,10439,53,53,0,"The plane crashed into Mt. El Tabalazo at 10,500 feet in fog while en route.","4.7109886,-74.0720920",4.7109886,-74.072092
2/1/1947,,"Lisbon, Portugal",Air France,,Paris - Bordeaux - Lisbon,Douglas DC-3C,F-BAXQ,25251,16,15,0,Crashed into Cintra mountain while on approach in poor weather condtions.,"38.7222524,-9.1393366",38.7222524,-9.1393366
1/22/1947,,"Puesto Araujo, Colombia",AVIANCA,,Bogota - Barrancabermeja,Douglas DC-3 ( C-47-DO),C-108,4829,17,17,0,Crashed in the jungles of the Magdalena river valley.,"6.5166900,-74.0999600",6.51669,-74.09996
12/28/1946,2:09," Shannon, Ireland",Trans World Airlines,6963,Paris - Shannon,Lockheed 049 Consellation,NC86505,2026,23,13,0,"Crashed 1 mile from the airport on an island situated on the Fergus River. Inaccurate altimeter reading caused by the reversal of the primary and statisource lines which resulted in the pilot making his approach at too low an altitude. Also, restriction of vision from the cockpit because of fogging of an unheated windshield.","52.7124708,-8.8730677",52.7124708,-8.8730677
12/28/1946,9:19,"Michigan City, Indiana",American Airlines,2207,Buffalo - Chicago,Douglas DC-3 (C-50A-DO),N15577,4805,21,2,0,Crashed after loosing power in both engines due to fuel starvation. The accumulation of carburetor ice following the loss of power in both engines as a result of fuel starvation. The reason for fuel starvation could not be determined.,"41.7075394,-86.8950297",41.7075394,-86.8950297
12/4/1946,,"Meshed, Iran",Aeroflot,,Meshed - Teheran,Lisunov Li-2,,,24,24,0,Crashed shortly after takeoff from Meshed airport.,"36.2604623,59.6167549",36.2604623,59.6167549
11/11/1946,3:30,"Cleveland, Ohio",United Air Lines,404,Chicago - Cleveland,Douglas DC-3 (C-53D-DO),N19947,4873,20,2,0,Struck power lines and trees and crashed 500 feet short of the runway. The error of the pilot in establishing an approach toward an area not cleared for landing as a result of having mistaken the end markers of Runway 23 for those of Runway 31. A contributing factor was the failure of the pilot to abandon his attempt to land at Cleveland Airport when confronted with weather conditions below the minimums prescribed for that airport.,"41.4993200,-81.6943605",41.49932,-81.6943605
10/8/1946,4:33,"Cheyenne, Wyoming",United Air Lines,28,San Francisco - Cheyenne - Chicago,Douglas DC-4,N30051,10471,41,2,0,"After two landing attempts, the pilot tried to land on a different runway.  The wing struck the ground and the plane skidded 800 ft.  A loss of altitude during a turn preparatory to a final approach while the pilot was manoeuvring in an attempt to land. The aircraft was named 'Mainliner Lake Michigan.'","41.1399814,-104.8202462",41.1399814,-104.8202462
9/6/1946,,"Bathurst, Gambia",American Airlines,,"Bathrust, - Argentina",Avro 685 York I,G-AHEW,1300,24,24,0,The aircraft crashed shortly after takeoff after a loss of control by  the captain.  Loss of control by the captain for unknown reasons with mishandling of the controls the most likely explanation. The aircraft was named 'Star Leader.',"13.4548761,-16.5790323",13.4548761,-16.5790323
9/4/1946,9:15,"Le Bourget, France",Air France,,Paris - Croydon,Douglas DC-3,F-BAXD,42975,26,20,1,Lost altitude after losing an engine on takeoff  and crashed into a factory yard.,"48.9367520,2.4253770",48.936752,2.425377
9/3/1946,,"Holtug, Denmark",Air France,,Copenhagen - Paris,Douglas DC-3 (C-53D-DO),F-BADB,11714,22,22,0,"Shortly after takeoff, the aircraft crashed into a field 40 miles south of Copenhagen, exploding and bursting into flames.","55.3415390,12.4052460",55.341539,12.405246
7/11/1946,,"Reading, Pennsylvania",Trans World Airlines,513,Training flight,Lockheed L-049 Constellation,NC86513,2040,6,5,0,"The flight crashed due to an in-flight fire caused by failure of a generator lead-through stud installation in the baggage compartment causing intense heat due to electrical arching, ignition of fuselage insulation and  creation of smoke rendering the crew incapable of controlling the aircraft. The plane crashed into powerlines and trees and burst into flames. The accident led to a 30-day grounding of all L-049s. The plane was named Star of Lisbon. Training flight.","40.3356483,-75.9268747",40.3356483,-75.9268747
6/29/1946,,"Pau, France",Air France,,,Junkers Ju-52/3m,F-BAJS,AAC020,3,2,0,The cargo  plane struck power lines and crashed while attempting to take off.,"43.2951000,-0.3707970",43.2951,-0.370797
4/22/1946,,"Liberiad, Nicaragua",TACA,,,,AN-ACC,,21,19,0,Crashed on takeoff.,"10.6364304,-85.4493266",10.6364304,-85.4493266
3/3/1946,8:12,"Live Oak Springs, California",American Airlines,6-103,Dallas - Tucon - San Diego,Douglas DC-3-227B,NC21799,2203,27,27,0,"While on approach to San Diego, the aircraft flew into Tierra Blanca Mountain at an altitude of 4,500 feet in fog, exploded and burned. The crew descended into instrument conditions to an altitude below that required to maintain clearance over Thing Mountain. The reason for the descent was not determined.","32.6906137,-116.3344620",32.6906137,-116.334462
1/31/1946,2:47,"Mt. Elk, Wyoming",United Air Lines,14,Boise - Denver,Douglas DC-3-194H,NC25675,2147,21,21,0,"The aircraft crashed into Elk Mountain after the crew made an unauthorized deviation from the prescribed route at an altitude insufficient to assure adequate clearance over Elk Mountain. Flight had originally filed for 13,000 ft.  But later amended the flight plan to 11,000 ft. Elk Mountain is 11,152 ft. MSL.","41.6893961,-106.4140868",41.6893961,-106.4140868
12/25/1945,,"Bangui, French Equatorial Africa",Air France,,,Lockheed 18 Lodestar,F-BALV,2380,8,8,0,,"4.3946735,18.5581899",4.3946735,18.5581899
2/23/1945,2:25,"Marion, Virginia",American Airlines,9,New York City - Los Angeles,Douglas DC-3,N18142,2138,22,17,0,"The aircraft flew into the summit of Glade mountain at 3,900 ft., in heavy rain and turbulence  while en route. The pilot's failure to properly  plan the flight and remain at a safe instrument altitude under existing conditions. A contributing cause of the accident was the company's laxity in dispatching and supervising the flight.","36.8348383,-81.5148368",36.8348383,-81.5148368
1/10/1945,4:10,"Burbank, California",American Airlines,6001,"New York City - Juarez, Mexico - Burbank",Douglas DC-3,NC25684,2215,24,24,0,"The aircraft, lost in fog, crashed into the Verdugo Mountains,  while attempting to reach Palmdale Airport, its alternate landing site, after being unable to land at Burbank Airport. The company ground personnel failed to obtain and transmit important weather to the pilot. Improperly executed missed approach by the pilot. Actress Donna Reed was returning from Juarez where she obtained a divorce from her husband but was bumped from the flight just prior to takeoff  to make room for a military officer holding a wartime-travel priority pass.","34.1808392,-118.3089661",34.1808392,-118.3089661
12/1/1944,0:54,"Van Nuys, California",Trans World Airlines,13,San Francisco - Burbank - New York City,Douglas DC-3,NC17322,1965,17,9,0,The plane crashed and burned 6.5 miles west northwest of the Bubank Airport in dense fog. The pilot's deviation from the standard instrument approach procedure and descent below the established safe minimum altitude. A contributing factor was the company's failure to enforce adherence to company procedures.,"34.1898566,-118.4513570",34.1898566,-118.451357
11/29/1944,,"Tegucigalpa, Nicaragua",TACA,,,Ford 5-AT-B Tri-Motor,XH-TAN,,16,16,0,,"14.0937595,-87.1911103",14.0937595,-87.1911103
11/4/1944,17:15,"Hanford, California",Trans World Airlines,8,San Francisco - New York City,Douglas DC-3,NC28310,2251,24,24,0,"The wing separated from the aircraft after entering a thunderstorm and encountering severe turbulence. The failure of the airplane's structure as a result of severe turbulence, an important contributing cause was the fact that the airplane was undoubtedly in an abnormal attitude of flight,  i.e., inverted, at the instant of structural failure. The cause of the airplane becoming inverted was not determined.","36.3274502,-119.6456844",36.3274502,-119.6456844
10/11/1944,,"Sydney, Australia",Qantas,,,Short S-23 (flying boat),VH-ABB,S-877,30,1,0,"On final approach with one engine shut-down, stalled 10 ft above the water and hull ruptured on impact.","-33.8688197,151.2092955",-33.8688197,151.2092955
7/31/1944,,"Funafuti, Gilbert Islands, PacifiOcean",American Airlines,,,Consolidated Catalina PB2Y-3R,7233,,24,22,0,"While taking off in the dark, the aircraft's wingtip collided with the jackpole mast of an anchored liberty ship which had slipped anchor and drifted, unlighted, into the seaplane area.  The aircraft then spun out of control, and crashed into the ocean and sank.","-8.5211471,179.1961926",-8.5211471,179.1961926
2/10/1944,23:36,"Memphis, Tennessee",American Airlines,2,Little Rock - Memphis,Douglas DC-3,NC21767,2166,24,24,0,"The aircraft crashed into a river and sank ,18 miles southwest of Memphis, in a snowstorm, while en route from Little Rock. Cause undetermined.","35.1495343,-90.0489801",35.1495343,-90.0489801
11/26/1943,,"Port Moresby, New Guinea",Qantas,,,Lockheed L-18-56 Lodestar,VH-CAB,,15,15,0,Flew into a hill shortly after talking off from Ward's Strip operated by Qantas for Allied Directorate of Air Transport.,"-9.4438004,147.1802671",-9.4438004,147.1802671
10/15/1943,23:17," Centerville, Tennessee",American Airlines,63,Nashville - Memphis,Douglas DC3-G102,NC16088,1588,15,15,0,"The aircraft struck the ground nose-first in a vertical attitude while en route and was completely demolished by the impact. Inability of the aircraft to gain or maintain altitude due to carburetor ice, propeller ice or wing ice or some combination of these icing conditions, while over terrain and in weather unsuitable for an emergency landing.","35.7789565,-87.4669587",35.7789565,-87.4669587
